Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
263,Sead Kolašinac,DF,Arsenal,28,1993,2,1,91,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
264,Ibrahima Konaté,DF,Liverpool,22,1999,11,11,990,11,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matches
265,Ezri Konsa,DF,Aston Villa,23,1997,29,29,2477,27.5,2,0,2,0,0,6,2,0.07,0,0.07,0.07,0.07,1.5,1.5,0.3,1.7,0.05,0.01,0.06,0.05,0.06,Matches
266,Cheikhou Kouyaté,MF,Crystal Palace,31,1989,27,23,1974,21.9,0,1,0,0,0,3,0,0,0.05,0.05,0,0.05,0.6,0.6,0.7,1.3,0.03,0.03,0.06,0.03,0.06,Matches
267,Mateo Kovačić,MF,Chelsea,27,1994,25,16,1558,17.3,2,5,2,0,0,4,0,0.12,0.29,0.4,0.12,0.4,1.8,1.8,3.6,5.5,0.11,0.21,0.32,0.11,0.32,Matches
268,Emil Krafth,DF,Newcastle Utd,26,1994,20,18,1634,18.2,0,1,0,0,0,5,0,0,0.06,0.06,0,0.06,0.2,0.2,0.8,1,0.01,0.04,0.06,0.01,0.06,Matches
269,Alex Král,MF,West Ham,23,1998,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
270,Tim Krul,GK,Norwich City,33,1988,29,29,2610,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0.4,0,0.01,0.01,0,0.01,Matches
271,Juraj Kucka,MF,Watford,34,1987,26,22,1920,21.3,1,1,1,0,0,5,1,0.05,0.05,0.09,0.05,0.09,3.1,3.1,0.9,4.1,0.15,0.04,0.19,0.15,0.19,Matches
272,Dejan Kulusevski,MFFW,Tottenham,21,2000,18,14,1261,14,5,8,5,0,0,3,0,0.36,0.57,0.93,0.36,0.93,3.4,3.4,3.5,6.9,0.24,0.25,0.5,0.24,0.5,Matches
273,Alexandre Lacazette,FWMF,Arsenal,30,1991,30,20,1782,19.8,4,7,2,2,3,0,0,0.2,0.35,0.56,0.1,0.45,7.9,5.6,1.9,7.6,0.4,0.1,0.5,0.28,0.38,Matches
274,Adam Lallana,MF,Brighton,33,1988,24,18,1561,17.3,0,1,0,0,0,4,0,0,0.06,0.06,0,0.06,1.2,1.2,0.7,1.9,0.07,0.04,0.11,0.07,0.11,Matches
275,Tariq Lamptey,DFFW,Brighton,20,2000,30,16,1561,17.3,0,2,0,0,0,4,0,0,0.12,0.12,0,0.12,0.8,0.8,2.2,3,0.05,0.13,0.17,0.05,0.17,Matches
276,Manuel Lanzini,MFFW,West Ham,28,1993,30,19,1786,19.8,5,3,2,3,3,2,0,0.25,0.15,0.4,0.1,0.25,3.4,1.1,2.2,3.3,0.17,0.11,0.28,0.06,0.17,Matches
277,Aymeric Laporte,DF,Manchester City,27,1994,33,33,2828,31.4,4,0,4,0,0,5,1,0.13,0,0.13,0.13,0.13,4.4,4.4,0.5,4.9,0.14,0.02,0.16,0.14,0.16,Matches
278,Jamaal Lascelles,DF,Newcastle Utd,27,1993,26,22,2058,22.9,1,0,1,0,0,5,0,0.04,0,0.04,0.04,0.04,1.1,1.1,0.3,1.3,0.05,0.01,0.06,0.05,0.06,Matches
279,Pierre Lees-Melou,MF,Norwich City,28,1993,33,27,2265,25.2,1,0,1,0,0,5,0,0.04,0,0.04,0.04,0.04,1.6,1.6,1.8,3.4,0.06,0.07,0.14,0.06,0.14,Matches
280,Aaron Lennon,MF,Burnley,34,1987,28,17,1551,17.2,2,0,2,0,0,2,0,0.12,0,0.12,0.12,0.12,1.1,1.1,0.5,1.6,0.06,0.03,0.09,0.06,0.09,Matches
281,Bernd Leno,GK,Arsenal,29,1992,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
282,Jamal Lewis,DF,Newcastle Utd,23,1998,5,4,262,2.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
283,Victor Lindelöf,DF,Manchester Utd,27,1994,28,26,2355,26.2,0,2,0,0,0,4,0,0,0.08,0.08,0,0.08,0.3,0.3,0.5,0.8,0.01,0.02,0.03,0.01,0.03,Matches
284,Jesse Lingard,FWMF,Manchester Utd,28,1992,16,2,367,4.1,2,0,2,0,0,1,0,0.49,0,0.49,0.49,0.49,0.7,0.7,0.4,1.1,0.17,0.1,0.26,0.17,0.26,Matches
285,Valentino Livramento,DF,Southampton,18,2002,28,25,2202,24.5,1,1,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,1.2,1.2,2.3,3.4,0.05,0.09,0.14,0.05,0.14,Matches
286,Diego Llorente,DF,Leeds United,27,1993,28,28,2340,26,3,0,3,0,0,7,0,0.12,0,0.12,0.12,0.12,1.4,1.4,0.1,1.4,0.05,0,0.05,0.05,0.05,Matches
287,Hugo Lloris,GK,Tottenham,34,1986,38,38,3420,38,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.5,0.5,0,0.01,0.01,0,0.01,Matches
288,Giovani Lo Celso,MFFW,Tottenham,25,1996,9,2,238,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.6,1.4,0.28,0.24,0.52,0.28,0.52,Matches
289,Jürgen Locadia,FW,Brighton,27,1993,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.45,0,0.45,0.45,0.45,Matches
290,Ruben Loftus-Cheek,MFDF,Chelsea,25,1996,24,13,1394,15.5,0,2,0,0,0,1,0,0,0.13,0.13,0,0.13,1.2,1.2,1.9,3.1,0.08,0.12,0.2,0.08,0.2,Matches
291,Kevin Long,DF,Burnley,30,1990,6,4,410,4.6,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.03,0,0.03,0.03,0.03,Matches
292,Shane Long,FW,Southampton,34,1987,13,3,308,3.4,1,0,1,0,0,1,0,0.29,0,0.29,0.29,0.29,1,1,0.1,1.1,0.29,0.03,0.32,0.29,0.32,Matches
293,Sean Longstaff,MF,Newcastle Utd,23,1997,24,15,1464,16.3,1,1,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,1.2,1.2,0.7,1.9,0.07,0.04,0.12,0.07,0.12,Matches
294,Ademola Lookman,FWMF,Leicester City,23,1997,26,16,1453,16.1,6,0,6,0,0,2,0,0.37,0,0.37,0.37,0.37,5.1,5.1,1.9,6.9,0.31,0.12,0.43,0.31,0.43,Matches
295,Jonas Lössl,GK,Brentford,32,1989,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
296,Imran Louza,MF,Watford,22,1999,20,17,1416,15.7,0,0,0,0,0,6,0,0,0,0,0,0,1.1,1.1,1,2.1,0.07,0.07,0.14,0.07,0.14,Matches
297,Matthew Lowton,DF,Burnley,32,1989,25,20,1772,19.7,1,2,1,0,0,3,1,0.05,0.1,0.15,0.05,0.15,0.6,0.6,1.3,1.9,0.03,0.07,0.1,0.03,0.1,Matches
298,Douglas Luiz,MF,Aston Villa,23,1998,34,31,2715,30.2,2,3,2,0,0,7,0,0.07,0.1,0.17,0.07,0.17,2,2,2.5,4.5,0.07,0.08,0.15,0.07,0.15,Matches
299,Romelu Lukaku,FW,Chelsea,28,1993,26,16,1589,17.7,8,0,7,1,1,1,0,0.45,0,0.45,0.4,0.4,6.8,6.1,3,9,0.39,0.17,0.55,0.34,0.51,Matches
300,Lyanco,DF,Southampton,24,1997,15,9,911,10.1,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.1,0.4,0.02,0.01,0.04,0.02,0.04,Matches
301,Alexis Mac Allister,MFFW,Brighton,22,1998,33,22,2123,23.6,5,2,3,2,3,4,0,0.21,0.08,0.3,0.13,0.21,6.5,4.2,1.5,5.7,0.28,0.06,0.34,0.18,0.24,Matches
302,James Maddison,MFFW,Leicester City,24,1996,35,28,2459,27.3,12,8,12,0,0,3,0,0.44,0.29,0.73,0.44,0.73,8.2,8.2,4.8,13,0.3,0.18,0.48,0.3,0.48,Matches
303,Harry Maguire,DF,Manchester Utd,28,1993,30,28,2515,27.9,1,0,1,0,0,9,1,0.04,0,0.04,0.04,0.04,1.7,1.7,0.2,1.9,0.06,0.01,0.07,0.06,0.07,Matches
304,Riyad Mahrez,FW,Manchester City,30,1991,28,15,1498,16.6,11,5,7,4,5,0,0,0.66,0.3,0.96,0.42,0.72,10.1,6.3,3.7,10,0.61,0.22,0.83,0.38,0.6,Matches
305,Ainsley Maitland-Niles,MF,Arsenal,23,1997,8,2,268,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.4,0.01,0.12,0.13,0.01,0.13,Matches
306,Sadio Mané,FW,Liverpool,29,1992,34,32,2819,31.3,16,2,16,0,0,5,0,0.51,0.06,0.57,0.51,0.57,16.7,16.7,4.4,21.1,0.53,0.14,0.67,0.53,0.67,Matches
307,Javier Manquillo,DF,Newcastle Utd,27,1994,19,15,1257,14,1,2,1,0,0,5,0,0.07,0.14,0.21,0.07,0.21,0.5,0.5,0.3,0.8,0.03,0.02,0.06,0.03,0.06,Matches
308,Fernando Marçal,DF,Wolves,32,1989,18,17,1449,16.1,0,0,0,0,0,3,0,0,0,0,0,0,0.5,0.5,0.7,1.2,0.03,0.04,0.08,0.03,0.08,Matches
309,Solly March,DFFW,Brighton,27,1994,31,17,1746,19.4,0,2,0,0,0,1,0,0,0.1,0.1,0,0.1,1.5,1.5,2.7,4.3,0.08,0.14,0.22,0.08,0.22,Matches
310,Pablo Marí,DF,Arsenal,27,1993,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.15,0.05,0.21,0.15,0.21,Matches
311,Anthony Martial,FW,Manchester Utd,25,1995,8,2,212,2.4,1,0,1,0,0,0,0,0.42,0,0.42,0.42,0.42,0.4,0.4,0.1,0.6,0.19,0.06,0.25,0.19,0.25,Matches
312,Martinelli,FWMF,Arsenal,20,2001,29,21,1860,20.7,6,6,5,1,1,3,1,0.29,0.29,0.58,0.24,0.53,7.2,6.5,3.3,9.8,0.35,0.16,0.51,0.31,0.47,Matches
313,Emiliano Martínez,GK,Aston Villa,28,1992,36,36,3240,36,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
314,Adam Masina,DF,Watford,27,1994,15,13,1077,12,0,1,0,0,0,0,0,0,0.08,0.08,0,0.08,0.4,0.4,0.7,1.1,0.03,0.06,0.09,0.03,0.09,Matches
315,Arthur Masuaku,DFFW,West Ham,27,1993,13,6,650,7.2,1,1,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,0.1,0.1,0.9,1,0.01,0.12,0.14,0.01,0.14,Matches
316,Juan Mata,MF,Manchester Utd,33,1988,7,2,235,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.11,0.06,0.17,0.11,0.17,Matches
317,Jean-Philippe Mateta,FW,Crystal Palace,24,1997,22,13,1145,12.7,5,1,5,0,0,2,0,0.39,0.08,0.47,0.39,0.47,5.5,5.5,1.3,6.8,0.43,0.11,0.54,0.43,0.54,Matches
318,Nemanja Matić,MF,Manchester Utd,32,1988,23,16,1382,15.4,0,4,0,0,0,3,0,0,0.26,0.26,0,0.26,0.2,0.2,1.8,1.9,0.01,0.12,0.13,0.01,0.13,Matches
319,Joël Matip,DF,Liverpool,29,1991,31,31,2790,31,3,3,3,0,0,2,0,0.1,0.1,0.19,0.1,0.19,3.1,3.1,1.2,4.3,0.1,0.04,0.14,0.1,0.14,Matches
320,Neal Maupay,FW,Brighton,24,1996,32,25,2276,25.3,8,2,7,1,2,7,0,0.32,0.08,0.4,0.28,0.36,7.7,6.2,2.2,8.4,0.3,0.09,0.39,0.24,0.33,Matches
321,Bryan Mbeumo,FW,Brentford,21,1999,35,34,2905,32.3,4,7,3,1,1,4,0,0.12,0.22,0.34,0.09,0.31,9.7,9,3.6,12.5,0.3,0.11,0.41,0.28,0.39,Matches
322,James McArthur,MF,Crystal Palace,33,1987,21,15,1439,16,0,3,0,0,0,4,0,0,0.19,0.19,0,0.19,0.3,0.3,1,1.4,0.02,0.06,0.08,0.02,0.08,Matches
323,James Mcatee,MFFW,Manchester City,18,2002,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.19,0.19,0.19,Matches
324,Kasey McAteer,FW,Leicester City,19,2001,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
325,Liam McCarron,FW,Leeds United,20,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
326,Alex McCarthy,GK,Southampton,31,1989,17,17,1530,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
327,John McGinn,MF,Aston Villa,26,1994,35,35,3090,34.3,3,4,3,0,0,8,0,0.09,0.12,0.2,0.09,0.2,1.5,1.5,4.9,6.4,0.04,0.14,0.19,0.04,0.19,Matches
328,Stuart McKinstry,MF,Leeds United,18,2002,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
329,Kenny McLean,MF,Norwich City,29,1992,31,29,2706,30.1,1,0,1,0,0,3,0,0.03,0,0.03,0.03,0.03,1.9,1.9,0.7,2.6,0.06,0.02,0.09,0.06,0.09,Matches
330,Dwight McNeil,MF,Burnley,21,1999,38,35,3107,34.5,0,1,0,0,0,1,0,0,0.03,0.03,0,0.03,2.3,2.3,4.8,7.1,0.07,0.14,0.21,0.07,0.21,Matches
331,Scott McTominay,MF,Manchester Utd,24,1996,30,28,2387,26.5,1,1,1,0,0,9,0,0.04,0.04,0.08,0.04,0.08,1.5,1.5,1.8,3.3,0.06,0.07,0.12,0.06,0.12,Matches
332,Ben Mee,DF,Burnley,31,1989,21,21,1839,20.4,3,0,3,0,0,3,0,0.15,0,0.15,0.15,0.15,1.8,1.8,0.1,1.9,0.09,0,0.09,0.09,0.09,Matches
333,Hannibal Mejbri,FW,Manchester Utd,18,2003,2,1,68,0.8,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.12,0,0.12,0.12,0.12,Matches
334,Benjamin Mendy,DF,Manchester City,27,1994,1,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.3,0,0.3,Matches
335,Edouard Mendy,GK,Chelsea,29,1992,34,34,3060,34,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
336,Nampalys Mendy,MF,Leicester City,29,1992,14,12,1032,11.5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
337,Illan Meslier,GK,Leeds United,21,2000,38,38,3384,37.6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
338,Luka Milivojević,MF,Crystal Palace,30,1991,15,9,774,8.6,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.8,1,0.03,0.09,0.12,0.03,0.12,Matches
339,James Milner,MFDF,Liverpool,35,1986,24,9,853,9.5,0,1,0,0,0,2,0,0,0.11,0.11,0,0.11,0.3,0.3,2.2,2.4,0.03,0.23,0.26,0.03,0.26,Matches
340,Yerry Mina,DF,Everton,26,1994,13,11,846,9.4,0,0,0,0,0,3,0,0,0,0,0,0,0.3,0.3,0,0.3,0.03,0,0.03,0.03,0.03,Matches
341,Takumi Minamino,FWMF,Liverpool,26,1995,11,1,186,2.1,3,0,3,0,0,1,0,1.45,0,1.45,1.45,1.45,1.8,1.8,0.5,2.3,0.88,0.25,1.13,0.88,1.13,Matches
342,Tyrone Mings,DF,Aston Villa,28,1993,36,35,3189,35.4,1,3,1,0,0,11,0,0.03,0.08,0.11,0.03,0.11,1.4,1.4,1.5,2.9,0.04,0.04,0.08,0.04,0.08,Matches
343,Tyrick Mitchell,DF,Crystal Palace,21,1999,36,35,3101,34.5,0,2,0,0,0,1,0,0,0.06,0.06,0,0.06,0.3,0.3,1.3,1.6,0.01,0.04,0.05,0.01,0.05,Matches
344,Jakub Moder,MFFW,Brighton,22,1999,28,19,1701,18.9,0,3,0,0,0,1,0,0,0.16,0.16,0,0.16,2.4,2.4,1.7,4.1,0.13,0.09,0.22,0.13,0.22,Matches
345,Wesley Moraes,FW,Aston Villa,24,1996,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
346,Tyler Morton,MF,Liverpool,18,2002,2,1,66,0.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
347,Mason Mount,MFFW,Chelsea,22,1999,32,27,2363,26.3,11,10,10,1,1,4,0,0.42,0.38,0.8,0.38,0.76,8.9,8.1,6.7,14.8,0.34,0.25,0.59,0.31,0.56,Matches
348,Lucas Moura,FWMF,Tottenham,28,1992,34,19,1775,19.7,2,6,2,0,0,4,0,0.1,0.3,0.41,0.1,0.41,3.7,3.7,4.4,8.1,0.19,0.23,0.41,0.19,0.41,Matches
349,João Moutinho,MF,Wolves,34,1986,35,34,2970,33,2,1,2,0,0,4,0,0.06,0.03,0.09,0.06,0.09,1,1,2.4,3.5,0.03,0.07,0.11,0.03,0.11,Matches
350,Bali Mumba,DF,Norwich City,19,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
351,Jacob Murphy,FWDF,Newcastle Utd,26,1995,33,13,1473,16.4,1,2,1,0,0,4,0,0.06,0.12,0.18,0.06,0.18,2.9,2.9,2.1,5,0.18,0.13,0.31,0.18,0.31,Matches
352,Enock Mwepu,MFFW,Brighton,23,1998,18,12,996,11.1,2,4,2,0,0,2,0,0.18,0.36,0.54,0.18,0.54,1.9,1.9,1.4,3.2,0.17,0.12,0.29,0.17,0.29,Matches
353,Vitaliy Mykolenko,DF,Everton,22,1999,13,12,1055,11.7,1,0,1,0,0,0,0,0.09,0,0.09,0.09,0.09,0.8,0.8,0.8,1.6,0.07,0.07,0.14,0.07,0.14,Matches
354,Marvelous Nakamba,MF,Aston Villa,27,1994,16,10,904,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0.01,0,0.01,Matches
355,Wilfred Ndidi,MFDF,Leicester City,24,1996,19,18,1618,18,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,1,0.06,0,0.06,0.06,0.06,Matches
356,Tanguy Ndombele,MF,Tottenham,24,1996,9,6,484,5.4,1,1,1,0,0,1,0,0.19,0.19,0.37,0.19,0.37,0.5,0.5,0.4,0.9,0.09,0.07,0.16,0.09,0.16,Matches
357,Reiss Nelson,FW,Arsenal,21,1999,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.16,0.18,0.35,0.16,0.35,Matches
358,Pedro Neto,FWMF,Wolves,21,2000,13,5,466,5.2,1,1,1,0,0,3,0,0.19,0.19,0.39,0.19,0.39,1.5,1.5,1.1,2.6,0.29,0.22,0.51,0.29,0.51,Matches
359,Rúben Neves,MF,Wolves,24,1997,33,31,2661,29.6,4,2,4,0,0,9,0,0.14,0.07,0.2,0.14,0.2,1.2,1.2,2.2,3.4,0.04,0.07,0.12,0.04,0.12,Matches
360,Jeremy Ngakia,DF,Watford,20,2000,16,9,903,10,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,0.01,0.05,0.06,0.01,0.06,Matches
361,Saúl Ñíguez,MFDF,Chelsea,26,1994,10,5,480,5.3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.3,0.5,0.04,0.06,0.1,0.04,0.1,Matches
362,Eddie Nketiah,FW,Arsenal,22,1999,21,8,835,9.3,5,1,5,0,0,3,0,0.54,0.11,0.65,0.54,0.65,4.6,4.6,1.4,6.1,0.5,0.16,0.65,0.5,0.65,Matches
363,Nicolas Nkoulou,DF,Watford,31,1990,3,2,168,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
364,Mark Noble,MF,West Ham,34,1987,11,3,332,3.7,1,0,0,1,2,0,0,0.27,0,0.27,0,0,1.5,0,0.2,0.2,0.41,0.06,0.47,0,0.06,Matches
365,Mathias Normann,MF,Norwich City,25,1996,23,20,1645,18.3,1,2,1,0,0,6,0,0.05,0.11,0.16,0.05,0.16,0.9,0.9,1.8,2.8,0.05,0.1,0.15,0.05,0.15,Matches
366,Christian Nørgaard,MF,Brentford,27,1994,35,35,3054,33.9,3,4,3,0,0,8,0,0.09,0.12,0.21,0.09,0.21,3.2,3.2,3.1,6.3,0.09,0.09,0.19,0.09,0.19,Matches
367,Angelo Ogbonna,DF,West Ham,33,1988,11,11,921,10.2,1,0,1,0,0,1,0,0.1,0,0.1,0.1,0.1,0.3,0.3,0,0.3,0.03,0,0.03,0.03,0.03,Matches
368,Michael Olise,FWMF,Crystal Palace,19,2001,26,12,1141,12.7,2,5,2,0,0,4,0,0.16,0.39,0.55,0.16,0.55,1.4,1.4,3.4,4.8,0.11,0.27,0.38,0.11,0.38,Matches
369,Robin Olsen,GK,Aston Villa,31,1990,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
370,Andrew Omobamidele,DF,Norwich City,19,2002,5,4,382,4.2,1,0,1,0,0,1,0,0.24,0,0.24,0.24,0.24,0.3,0.3,0,0.3,0.08,0,0.08,0.08,0.08,Matches
371,Tyler Onyango,MFFW,Everton,18,2003,3,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches
372,Frank Onyeka,MF,Brentford,23,1998,20,12,1045,11.6,0,0,0,0,0,4,0,0,0,0,0,0,1.1,1.1,0.2,1.3,0.1,0.02,0.11,0.1,0.11,Matches
373,Divock Origi,FW,Liverpool,26,1995,7,0,133,1.5,3,0,3,0,0,0,0,2.03,0,2.03,2.03,2.03,1.6,1.6,0,1.6,1.08,0,1.08,1.08,1.08,Matches
374,Alex Oxlade-Chamberlain,MFFW,Liverpool,27,1993,17,9,785,8.7,2,1,2,0,0,0,0,0.23,0.11,0.34,0.23,0.34,1.2,1.2,0.9,2.1,0.14,0.11,0.24,0.14,0.24,Matches
375,Cole Palmer,FWMF,Manchester City,19,2002,4,1,123,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.23,0.17,0.39,0.23,0.39,Matches
376,Emerson Palmieri,DF,Chelsea,26,1994,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
377,Thomas Partey,MF,Arsenal,28,1993,24,23,2028,22.5,2,1,2,0,0,6,0,0.09,0.04,0.13,0.09,0.13,2.5,2.5,1.3,3.8,0.11,0.06,0.17,0.11,0.17,Matches
378,João Pedro,FWMF,Watford,19,2001,28,15,1644,18.3,3,1,3,0,0,1,0,0.16,0.05,0.22,0.16,0.22,4.2,4.2,2.6,6.8,0.23,0.14,0.37,0.23,0.37,Matches
379,Nicolas Pépé,FWMF,Arsenal,26,1995,20,5,696,7.7,1,2,1,0,0,0,0,0.13,0.26,0.39,0.13,0.39,2.9,2.9,1.7,4.6,0.38,0.22,0.6,0.38,0.6,Matches
380,Ricardo Pereira,DF,Leicester City,27,1993,14,13,991,11,1,3,1,0,0,3,0,0.09,0.27,0.36,0.09,0.36,0.7,0.7,1.3,2,0.06,0.12,0.18,0.06,0.18,Matches
381,Ayoze Pérez,MFFW,Leicester City,28,1993,14,6,445,4.9,2,3,2,0,0,0,1,0.4,0.61,1.01,0.4,1.01,1.5,1.5,0.9,2.4,0.31,0.18,0.49,0.31,0.49,Matches
382,Sonny Perkins,FW,West Ham,17,2004,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
383,Romain Perraud,DF,Southampton,23,1997,20,18,1623,18,0,1,0,0,0,3,0,0,0.06,0.06,0,0.06,0.9,0.9,0.6,1.5,0.05,0.03,0.08,0.05,0.08,Matches
384,Kalvin Phillips,MF,Leeds United,25,1995,20,18,1596,17.7,0,1,0,0,0,4,0,0,0.06,0.06,0,0.06,0.6,0.6,0.2,0.9,0.04,0.01,0.05,0.04,0.05,Matches
385,Jaden Philogene Bidace,FW,Aston Villa,19,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
386,Jordan Pickford,GK,Everton,27,1994,35,35,3150,35,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,Matches
387,Erik Pieters,DF,Burnley,32,1988,12,8,730,8.1,0,1,0,0,0,1,0,0,0.12,0.12,0,0.12,0.2,0.2,0.8,1,0.02,0.1,0.13,0.02,0.13,Matches
388,Ethan Pinnock,DF,Brentford,28,1993,32,32,2694,29.9,1,1,1,0,0,1,0,0.03,0.03,0.07,0.03,0.07,1.5,1.5,1.2,2.8,0.05,0.04,0.09,0.05,0.09,Matches
389,Daniel Podence,FWMF,Wolves,25,1995,26,15,1484,16.5,2,3,2,0,0,2,0,0.12,0.18,0.3,0.12,0.3,1.9,1.9,3.8,5.8,0.12,0.23,0.35,0.12,0.35,Matches
390,Paul Pogba,MFFW,Manchester Utd,28,1993,20,16,1349,15,1,9,1,0,0,7,1,0.07,0.6,0.67,0.07,0.67,2.4,2.4,3.5,6,0.16,0.24,0.4,0.16,0.4,Matches
391,Nick Pope,GK,Burnley,29,1992,36,36,3240,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.01,0.01,0,0.01,Matches
392,Isaac Price,MF,Everton,17,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,1.03,0,1.03,1.03,1.03,Matches
393,Teemu Pukki,FW,Norwich City,31,1990,37,37,3253,36.1,11,3,8,3,3,4,0,0.3,0.08,0.39,0.22,0.3,11.5,9.2,2.8,12,0.32,0.08,0.4,0.26,0.33,Matches
394,Christian Pulisic,MFFW,Chelsea,22,1998,22,13,1290,14.3,6,2,6,0,0,2,0,0.42,0.14,0.56,0.42,0.56,5.1,5.1,1.2,6.3,0.35,0.08,0.44,0.35,0.44,Matches
395,Przemysław Płacheta,FWMF,Norwich City,23,1998,12,6,504,5.6,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.7,1.3,0.1,0.13,0.23,0.1,0.23,Matches
396,Jesuran Rak Sakyi,FWMF,Crystal Palace,18,2002,2,1,80,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
397,Aaron Ramsdale,GK,Arsenal,23,1998,34,34,3060,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
398,Jacob Ramsey,MF,Aston Villa,20,2001,34,29,2467,27.4,6,1,6,0,0,6,0,0.22,0.04,0.26,0.22,0.26,3.8,3.8,2,5.8,0.14,0.07,0.21,0.14,0.21,Matches
399,Marcus Rashford,FWMF,Manchester Utd,23,1997,25,13,1235,13.7,4,2,4,0,0,2,0,0.29,0.15,0.44,0.29,0.44,2.4,2.4,2,4.4,0.18,0.14,0.32,0.18,0.32,Matches
